Year;Lan;Dis;Cat;CatEst;Tsb;Ssb;SsbCv;Recr;RecrCv;Fbar;FbarCv
1986;1124;284;1408;1444.246753;4979.454496;2883.637303;0.060149634;69390.48514;0.120840138;0.412616333;0.100973251
1987;1688;333;2021;1990.889381;6807.32048;3659.684326;0.056475417;48724.3254;0.118050389;0.435353333;0.071596284
1988;2223;363;2586;2345.700831;7134.282064;4358.068037;0.055399233;60854.02699;0.110184241;0.475645;0.07237388
1989;2629;408;3037;2568.690939;7278.338597;4522.522574;0.056929408;59136.13408;0.107431701;0.527133;0.063632844
1990;1945;409;2354;2483.879087;6544.837004;4260.935021;0.057896807;33819.63944;0.103753899;0.554195667;0.065866844
1991;1682;447;2129;2232.517341;6337.941788;3993.621964;0.059457744;78798.38226;0.103169782;0.537657333;0.061163782
1992;1916;437;2353;2012.904487;6257.883129;3806.586291;0.06471937;66335.54721;0.10398126;0.511945667;0.065457471
1993;1384;438;1822;2121.180232;6280.458004;3814.72335;0.062207608;20058.97196;0.105606913;0.518067333;0.062279591
1994;1403;517;1920;2146.10239;6213.447454;3879.457335;0.062515156;49418.70046;0.100706432;0.547430333;0.063226775
1995;1652;406;2058;1800.774784;5455.076238;3450.213895;0.066576979;58181.41175;0.096108142;0.540354667;0.06281852
1996;1098;368;1466;1393.981925;4753.371903;2734.764751;0.070870459;44191.19449;0.094997567;0.470798;0.06976182
1997;896;308;1204;1087.726357;4079.412633;2572.02461;0.072832168;30650.88091;0.098053988;0.403221333;0.071176071
1998;1123;378;1501;1373.812232;4978.029644;3493.518743;0.070157621;19062.00068;0.100272573;0.401743667;0.072673854
1999;1125;317;1442;1506.61023;4682.579445;3481.087847;0.071373427;30604.03402;0.146598709;0.469897;0.067720089
2000;1041;373;1414;1357.378134;4045.411696;2761.419712;0.077508023;34347.96829;0.12247537;0.530035667;0.067928161
2001;931;290;1221;1075.145717;3710.687741;2311.464187;0.098505976;31850.59514;0.096931401;0.483820333;0.074989474
2002;720;308;1028;991.9121092;4277.331663;2565.461954;0.128620443;38514.21862;0.09414818;0.385554333;0.083147649
2003;876;191;1067;1026.251115;5003.917575;2886.615963;0.129827543;42564.1325;0.097361009;0.342922667;0.081054716
2004;1006;348;1354;1161.270405;5079.68135;2948.126873;0.115015776;37069.33899;0.096730663;0.378127;0.077257353
2005;983;375;1358;1366.61276;5149.201475;3098.165578;0.092866645;60364.04319;0.093985422;0.436257333;0.076065376
2006;1092;335;1427;1535.623842;6055.348083;3528.240092;0.086386052;51465.3024;0.091530852;0.423187;0.081203005
2007;1104;292;1396;1282.735026;5731.972076;3382.078403;0.084351902;37824.87527;0.092494697;0.349114333;0.087759757
2008;980;202;1182;1371.89432;6445.317608;4370.814174;0.087116734;27788.44901;0.092155273;0.298354667;0.089401013
2009;1134;279;1413;1362.584128;6403.31752;4649.157616;0.095644221;59831.55017;0.090515517;0.292037667;0.087819641
2010;1297;265;1562;1488.920139;6662.902391;5049.263032;0.098665088;40904.79821;0.089337256;0.295598667;0.087853872
2011;1128;269;1397;1312.241536;6415.587598;4518.701374;0.105385877;42465.32026;0.090902695;0.279622333;0.091022975
2012;952;369;1321;1367.108057;7746.137896;4957.740601;0.098208194;53487.35309;0.094952993;0.267191333;0.088974536
2013;931;496;1427;1424.397569;6829.776662;4943.234371;0.104018462;40447.34698;0.100376739;0.292359;0.086627224
2014;1154;788;1942;1760.225009;7372.533822;5257.068651;0.10581929;67373.89991;0.102342157;0.343316667;0.085437275
2015;1148;597;1745;1718.234648;7787.00042;5091.650654;0.114507538;48791.73287;0.106183093;0.34634;0.093334264
2016;1087;332;1419;1474.419289;8091.216993;5375.122781;0.114821969;62077.33816;0.108842412;0.270114333;0.102692143
2017;927;246;1173;1079.251971;8257.989919;5532.350392;0.119286222;43160.04233;0.114354625;0.186800167;0.117406362
2018;814;92;906;943.8514758;8292.847321;6376.693928;0.120246235;52545.90406;0.114322528;0.138989467;0.123391162
2019;742;201;943;937.9004601;9747.293675;7849.351916;0.124811526;48719.03344;0.116025116;0.1153048;0.126839651
2020;711;81;792;904.2573344;10939.94429;8798.675343;0.122531882;59094.49239;0.126696131;0.098243767;0.123855396
2021;722;109;831;817.8425246;12770.39801;10413.96093;0.124622347;50678.88187;0.149599569;0.0834547;0.123413228
2022;644;119;763;795.5828328;14716.31972;11883.46127;0.119813177;69081.2089;0.188126332;0.073695733;0.119984405
2023;707;79;786;764.9804261;16390.89079;13690.22317;0.117159188;36803.69976;0.261520324;0.0672794;0.128277064
2024;685;51;736;759.6316569;18379.36198;16175.03021;0.115829857;28247.98233;0.368723308;0.059050433;0.138747801
2025;689;36;725;662.6473924;19570.42801;17816.85275;0.114;9221.116819;0.608803895;0.0486169;0.177
2026*;NA;NA;NA;NA;NA;NA;NA;21243.24275;NA;0.058315578;NA
