"","X1986.unique.all.unique.1","X1987.unique.all.unique.1","X1988.unique.all.unique.1","X1989.unique.all.unique.1","X1990.unique.all.unique.1","X1991.unique.all.unique.1","X1992.unique.all.unique.1","X1993.unique.all.unique.1","X1994.unique.all.unique.1","X1995.unique.all.unique.1","X1996.unique.all.unique.1","X1997.unique.all.unique.1","X1998.unique.all.unique.1","X1999.unique.all.unique.1","X2000.unique.all.unique.1","X2001.unique.all.unique.1","X2002.unique.all.unique.1","X2003.unique.all.unique.1","X2004.unique.all.unique.1","X2005.unique.all.unique.1","X2006.unique.all.unique.1","X2007.unique.all.unique.1","X2008.unique.all.unique.1","X2009.unique.all.unique.1","X2010.unique.all.unique.1","X2011.unique.all.unique.1","X2012.unique.all.unique.1","X2013.unique.all.unique.1","X2014.unique.all.unique.1","X2015.unique.all.unique.1","X2016.unique.all.unique.1","X2017.unique.all.unique.1","X2018.unique.all.unique.1","X2019.unique.all.unique.1","X2020.unique.all.unique.1","X2021.unique.all.unique.1","X2022.unique.all.unique.1","X2023.unique.all.unique.1","X2024.unique.all.unique.1","X2025.unique.all.unique.1"
"0",69390.4851421554,48724.3253999151,60854.0269864541,59136.1340769815,33819.6394433478,78798.3822573382,66335.5472109278,20058.9719595214,49418.7004553347,58181.4117525321,44191.194494013,30650.8809133308,19062.0006780519,30604.0340205364,34347.9682898627,31850.595136394,38514.2186223804,42564.1325044585,37069.338993693,60364.0431892265,51465.3023959149,37824.8752702609,27788.4490100862,59831.5501744632,40904.7982109789,42465.3202620643,53487.3530945306,40447.3469781918,67373.8999143657,48791.732873436,62077.3381629248,43160.0423315046,52545.904056373,48719.0334360995,59094.4923944975,50678.8818715048,69081.208896207,36803.6997608476,28247.9823269974,9221.11681854134
"1",61520.293906197,55269.0098303068,38808.5732654387,48469.7906157321,47101.5143321141,26937.1368638053,62762.3438397856,52835.8342706674,15976.8725270234,39361.7136144336,46341.0331057513,35197.979133566,24413.217137753,15182.7309406527,24064.1210329293,26867.7340596654,25617.0955290645,31396.7875508243,34811.0585004861,30337.8742666599,49409.0708162603,42123.0776841495,30949.659985153,22717.7933861206,48826.1740149904,33329.2218785943,34641.7156583848,43739.0352250416,33109.7355105019,55160.3944418278,39947.2997743639,50824.6277601985,35336.4377278251,43020.9764627093,39887.7868698139,48382.5165895262,41492.3797015282,56558.9476987518,30132.2684593954,23122.5852412665
"2",36917.4336061318,41064.3379069954,36952.3952687173,25801.0129600352,31928.4130305358,31074.1512650789,18083.3343861743,42926.4151420687,36347.2028166174,10959.3968017301,27211.6249541785,32858.4106060103,25529.4744888379,17735.3660769179,10813.6509130363,16832.5223485631,19038.5772316547,18674.7330309513,23159.1084669452,25371.1493418938,21686.3809630967,35415.8171850601,30879.7366599821,23051.7943810438,16963.3466343668,36471.000068502,25080.1780855373,26255.8615876671,33076.5956715251,24875.5265668298,41769.9041645826,31004.1411864028,40315.9154178519,28366.834629087,34753.9746940811,32358.7104162031,39367.9598668062,33826.2327097411,46166.9188208653,24619.9507405847
"3",20138.6984307771,21893.0278124232,24078.869128809,21153.8879483334,14313.1138047799,17487.7715731488,17336.9072276498,10332.9497408624,24543.0003814946,20450.9242959015,6217.05981809878,16215.8784337802,20513.9940941636,15958.8277979471,10587.3110180351,6193.82722941295,9934.05712406837,11994.1058579507,12096.9087615829,14626.9012329974,15377.0587922444,13249.2555708206,22764.2065113892,20561.5350149994,15428.7638813287,11344.9293787272,24723.0139047324,17205.4756673098,17806.6774581716,21877.065167471,16579.6358809784,29386.1015613865,23013.0155642307,30852.4960593572,22062.110394009,27344.7048311168,25698.0365493927,31464.1950243451,27157.0569994235,37225.8423170285
"4",9250.9600243215,11148.1724289906,11829.5344586339,12484.6101762093,10407.3842483024,6839.26463256342,8467.7840810049,8586.67975984705,5075.01932527585,11683.3548024143,9783.71329960033,3182.18797261811,8868.5505735107,11224.6890205548,8147.35133429103,5083.6773250923,3113.89561334446,5512.60400537786,6947.2640711556,6762.21884461762,7711.79668621011,8217.30936086404,7631.77525303682,13804.9985249707,12553.1454452975,9389.07160455988,7017.56911174931,15488.6237998993,10513.3970316261,10343.0131474627,12673.9930780061,10369.472966541,19980.8070513589,16418.4478683635,22548.79755804,16409.772517846,20651.8454138864,19609.4152957053,24179.5899483171,21051.3453052167
"5",3476.81155154246,4485.11284078782,5230.9240494256,5250.46093879098,5163.62935546146,4138.85357558339,2768.97235211972,3534.99712746324,3546.89970837323,2012.5251637475,4670.68726370737,4287.52305740155,1525.75124621135,4263.51836251967,4936.43060075901,3315.03361509238,2202.50666472993,1537.55839826565,2882.21170242447,3473.25465783029,3137.50124210254,3642.12035565316,4273.72925007875,4237.98680594671,7720.50673812967,6973.73256558445,5311.18839241338,4020.15742980314,8532.84920988605,5362.06064784792,5201.20229855269,7029.87943413362,6438.39403585141,13236.589559065,11216.5341910684,15747.8432733618,11689.6010547869,14897.9191831637,14255.0757098179,17783.7745328055
"6",1100.34675823589,1382.7467682811,1736.97000526059,1917.26113971499,1791.53796001557,1711.39507193504,1430.44384542624,1011.02534930785,1295.38598857002,1258.5157488707,730.860109555942,1902.44364103112,1945.98522527838,699.056274558837,1783.69544314777,1909.31451864097,1376.64799686731,1053.63867104974,782.375208463828,1398.79616673845,1556.10629767203,1429.96670114778,1835.65211739699,2305.34426976422,2298.20445628833,4146.75681990482,3811.92299133192,2938.42797377778,2127.82924747541,4145.55094618289,2565.78696764967,2776.58063452355,4255.09459716719,4190.49793721399,8924.33307733814,7758.48742269523,11145.0493028043,8398.25982195777,10808.0119351999,10482.599537289
"7",316.567878058333,469.503897260995,628.679228555834,793.854432268565,893.743285661954,916.828393388985,978.961253795222,998.281259397664,892.363904929674,939.479733590142,990.334638323646,900.414630209901,1469.87331352822,1880.09593809807,1484.4479023976,1647.13675065202,1886.7586072955,1952.65656982633,1894.87006002935,1668.19182635795,1746.9987104588,1887.01019246051,2026.27559431772,2427.15486638024,2969.7459891459,3314.67792572116,4628.11731871806,5389.24052101921,5295.91977550261,4597.19836947374,5155.24029151105,5053.1661173223,5490.36908200154,7069.00526496749,8420.43401788047,13038.5313067508,16048.1839082772,21145.2125978159,23304.2470811027,27050.7839555843
